Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 31º, 19º, 73% , 26% 
Adustina, BA, 30º, 18º, 100% , 44% 
Adelândia, GO, 35º, 22º, 40% , 20% 
Acrelândia, AC, 37º, 24º, 77% , 33% 
Adolfo, SP, 33º, 19º, 76% , 34% 
Acarape, CE, 32º, 21º, 85% , 44% 
Adamantina, SP, 17º, 13º, 98% , 48% 
Afonso Cunha, MA, 36º, 23º, 87% , 33% 
Acará, PA, 34º, 23º, 88% , 44% 
Acaiaca, MG, 31º, 15º, 89% , 36% 
Abre Campo, MG, 30º, 17º, 87% , 36% 
Abaetetuba, PA, 33º, 24º, 91% , 51% 
Abaíra, BA, 27º, 15º, 97% , 37% 
Assis, SP, 19º, 13º, 99% , 43% 
Água Fria, BA, 31º, 18º, 95% , 38% 
Bom Conselho, PE, 25º, 18º, 98% , 63% 
Bom Despacho, MG, 32º, 18º, 64% , 27% 
Bom Jardim, MA, 35º, 21º, 80% , 36% 
Bofete, SP, 17º, 12º, 96% , 71% 
Boituva, SP, 20º, 13º, 94% , 53% 
Bodocó, PE, 31º, 20º, 83% , 31% 
Bodoquena, MS, 19º, 15º, 95% , 79% 
Bocaiúva do Sul, PR, 13º, 5º, 99% , 52% 
Bocaína do Sul, SC, 11º, 6º, 99% , 88% 
Bodó, RN, 31º, 18º, 95% , 38% 
Bocaina de Minas, MG, 27º, 13º, 82% , 41% 
Bocaiúva, MG, 32º, 16º, 72% , 29% 
Brejões, BA, 24º, 15º, 100% , 64% 
Cachoeira de Goiás, GO, 34º, 21º, 44% , 22% 
Brejo Santo, CE, 33º, 20º, 82% , 27% 
Cachoeira da Prata, MG, 32º, 19º, 58% , 23% 
Cachoeira Alta, GO, 33º, 20º, 65% , 31% 
Chapadão do Sul, MS, 17º, 13º, 86% , 51% 
Charqueada, SP, 18º, 14º, 99% , 79% 
Chapadinha, MA, 37º, 24º, 78% , 29% 
Chapecó, SC, 11º, 2º, 94% , 52% 
Chapada Gaúcha, MG, 32º, 17º, 66% , 26% 
Chapadão do Lageado, SC, 12º, 8º, 96% , 88% 
Chapadão do Céu, GO, 23º, 14º, 85% , 47% 
Chapada do Norte, MG, 32º, 17º, 78% , 30% 
Chapada da Natividade, TO, 36º, 24º, 44% , 19% 
Chalé, MG, 30º, 15º, 94% , 37% 
Chapada, RS, 8º, 4º, 98% , 84% 
Chapada dos Guimarães, MT, 24º, 17º, 81% , 49% 
Colombo, PR, 12º, 5º, 98% , 51% 
Choró, CE, 32º, 22º, 80% , 38% 
Conceição da Barra, ES, 25º, 22º, 89% , 71% 
Chapada da Areia, TO, 37º, 24º, 44% , 22% 
Conde, BA, 28º, 20º, 93% , 63% 
Criciúma, SC, 17º, 6º, 92% , 40% 
Frutal, MG, 22º, 18º, 81% , 61% 
Frutuoso Gomes, RN, 33º, 20º, 82% , 31% 
Funilândia, MG, 33º, 16º, 77% , 17% 
Fronteira, MG, 22º, 17º, 83% , 61% 
Galvão, SC, 14º, 8º, 99% , 72% 
Frei Paulo, SE, 27º, 19º, 100% , 61% 
Frecheirinha, CE, 33º, 22º, 82% , 37% 
Frei Gaspar, MG, 30º, 18º, 100% , 36% 
Frei Inocêncio, MG, 34º, 19º, 92% , 28% 
