Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 35º, 23º, 49% , 22% 
Aguanil, MG, 30º, 16º, 84% , 35% 
Água Doce, SC, 23º, 9º, 90% , 54% 
Água Fria, BA, 30º, 18º, 95% , 40% 
Águas Belas, PE, 29º, 18º, 98% , 50% 
Água Limpa, GO, 36º, 23º, 54% , 21% 
Aguaí, SP, 31º, 15º, 90% , 33% 
Água Preta, PE, 28º, 20º, 99% , 57% 
Água Clara, MS, 32º, 19º, 69% , 38% 
Afuá, PA, 34º, 25º, 89% , 49% 
Água Azul do Norte, PA, 37º, 25º, 66% , 31% 
Agrolândia, SC, 19º, 11º, 98% , 66% 
Água Branca, AL, 30º, 19º, 95% , 47% 
Adustina, BA, 30º, 19º, 97% , 47% 
Afonso Cunha, MA, 38º, 24º, 80% , 29% 
Afrânio, PE, 33º, 20º, 77% , 31% 
Apucarana, PR, 30º, 17º, 82% , 45% 
Argirita, MG, 27º, 16º, 91% , 44% 
Bom Jesus dos Perdões, SP, 29º, 13º, 100% , 47% 
Bom Jesus do Tocantins, TO, 39º, 23º, 54% , 20% 
Bom Jesus do Oeste, SC, 25º, 13º, 76% , 53% 
Bom Jesus do Sul, PR, 24º, 13º, 79% , 54% 
Bom Jesus do Itabapoana, RJ, 29º, 16º, 92% , 42% 
Bom Jesus do Norte, ES, 29º, 16º, 92% , 42% 
Bom Princípio, RS, 24º, 12º, 93% , 60% 
Bom Jesus das Selvas, MA, 33º, 22º, 89% , 46% 
Bom Jesus do Amparo, MG, 28º, 16º, 83% , 38% 
Bom Jesus de Goiás, GO, 37º, 25º, 48% , 21% 
Bom Jesus da Serra, BA, 25º, 17º, 97% , 55% 
Bom Jesus da Lapa, BA, 35º, 23º, 56% , 26% 
Bom Jesus, RN, 32º, 22º, 88% , 47% 
Braúnas, MG, 29º, 18º, 86% , 42% 
Buriti dos Lopes, PI, 38º, 24º, 78% , 31% 
Buritinópolis, GO, 34º, 23º, 51% , 27% 
Buritama, SP, 37º, 21º, 79% , 23% 
Canindé, CE, 35º, 23º, 80% , 32% 
Canelinha, SC, 22º, 14º, 99% , 74% 
Canindé de São Francisco, SE, 31º, 20º, 93% , 43% 
Cansanção, BA, 31º, 19º, 91% , 34% 
Cantá, RR, 36º, 23º, 100% , 45% 
Canguçu, RS, 21º, 13º, 98% , 67% 
Canoinhas, SC, 20º, 13º, 96% , 75% 
Canguaretama, RN, 29º, 23º, 85% , 65% 
Cândido Sales, BA, 28º, 17º, 98% , 41% 
Cândido Rodrigues, SP, 34º, 18º, 73% , 31% 
Cândido Mendes, MA, 32º, 25º, 86% , 55% 
Canela, RS, 26º, 13º, 86% , 56% 
Capitão Poço, PA, 35º, 23º, 92% , 42% 
Candiota, RS, 23º, 14º, 92% , 62% 
Cândido de Abreu, PR, 25º, 11º, 95% , 59% 
Candiba, BA, 30º, 19º, 80% , 36% 
Cubati, PB, 30º, 18º, 97% , 40% 
Cruzmaltina, PR, 27º, 13º, 86% , 53% 
Eunápolis, BA, 29º, 19º, 99% , 49% 
Euclides da Cunha, BA, 29º, 18º, 95% , 45% 
