Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 25º, 20º, 99% , 75% 
Acari, RN, 35º, 21º, 85% , 30% 
Adrianópolis, PR, 26º, 17º, 94% , 67% 
Acorizal, MT, 30º, 22º, 90% , 62% 
Acaraú, CE, 34º, 24º, 83% , 51% 
Acreúna, GO, 27º, 21º, 100% , 73% 
Acajutiba, BA, 31º, 22º, 95% , 49% 
Acopiara, CE, 35º, 22º, 80% , 27% 
Abreu e Lima, PE, 30º, 25º, 82% , 59% 
Abel Figueiredo, PA, 32º, 24º, 92% , 62% 
Abelardo Luz, SC, 25º, 13º, 92% , 51% 
Abdon Batista, SC, 25º, 15º, 89% , 52% 
Abre Campo, MG, 26º, 18º, 96% , 59% 
Acauã, PI, 35º, 23º, 76% , 33% 
Abreulândia, TO, 28º, 23º, 96% , 70% 
Bacabal, MA, 37º, 25º, 83% , 37% 
Barra dos Coqueiros, SE, 30º, 24º, 92% , 63% 
Bebedouro, SP, 30º, 20º, 95% , 63% 
Barra do Rocha, BA, 29º, 21º, 100% , 63% 
Cascavel, PR, 28º, 18º, 78% , 50% 
Carvalhos, MG, 21º, 16º, 96% , 79% 
Cascalho Rico, MG, 23º, 20º, 96% , 80% 
Cascavel, CE, 32º, 25º, 82% , 58% 
Casa Branca, SP, 28º, 20º, 93% , 62% 
Caseara, TO, 32º, 24º, 99% , 66% 
Caruaru, PE, 28º, 18º, 94% , 54% 
Carrancas, MG, 23º, 16º, 94% , 75% 
Carrasco Bonito, TO, 32º, 24º, 98% , 65% 
Carolina, MA, 30º, 23º, 100% , 73% 
Carpina, PE, 32º, 22º, 93% , 43% 
Carnaubeira da Penha, PE, 35º, 23º, 72% , 25% 
Chuvisca, RS, 25º, 14º, 100% , 53% 
Comercinho, MG, 26º, 20º, 95% , 68% 
Casa Grande, MG, 22º, 18º, 92% , 79% 
Conceição do Araguaia, PA, 30º, 23º, 100% , 71% 
Cícero Dantas, BA, 31º, 19º, 98% , 49% 
Divinópolis do Tocantins, TO, 28º, 23º, 98% , 77% 
Divinópolis de Goiás, GO, 26º, 20º, 99% , 76% 
Divisa Nova, MG, 25º, 18º, 92% , 70% 
Divinolândia de Minas, MG, 25º, 16º, 100% , 62% 
Divisa Alegre, MG, 24º, 18º, 96% , 66% 
Divinópolis, MG, 25º, 18º, 96% , 74% 
Dobrada, SP, 30º, 21º, 90% , 59% 
Divinolândia, SP, 25º, 16º, 100% , 67% 
Divino, MG, 24º, 17º, 94% , 70% 
Divino de São Lourenço, ES, 24º, 17º, 92% , 65% 
Diorama, GO, 29º, 22º, 98% , 67% 
Divinésia, MG, 26º, 17º, 98% , 69% 
Divina Pastora, SE, 31º, 23º, 91% , 51% 
Dirceu Arcoverde, PI, 32º, 22º, 88% , 43% 
Divino das Laranjeiras, MG, 25º, 22º, 98% , 86% 
Humaitá, RS, 31º, 16º, 91% , 47% 
Humaitá, AM, 31º, 23º, 100% , 71% 
