Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 35º, 19º, 39% , 9% 
Acauã, PI, 34º, 21º, 69% , 24% 
Acopiara, CE, 33º, 22º, 62% , 26% 
Acaraú, CE, 33º, 24º, 85% , 46% 
Acarape, CE, 34º, 22º, 88% , 37% 
Aceguá, RS, 15º, 11º, 84% , 78% 
Acorizal, MT, 37º, 23º, 50% , 23% 
Acará, PA, 36º, 23º, 95% , 43% 
Acaiaca, MG, 32º, 13º, 79% , 32% 
Acajutiba, BA, 28º, 19º, 99% , 57% 
Abelardo Luz, SC, 23º, 7º, 100% , 39% 
Abreu e Lima, PE, 26º, 21º, 90% , 67% 
Abre Campo, MG, 31º, 16º, 68% , 27% 
Açailândia, MA, 36º, 22º, 68% , 30% 
Abreulândia, TO, 37º, 24º, 50% , 25% 
Cajazeiras do Piauí, PI, 35º, 24º, 57% , 26% 
Cajazeiras, PB, 35º, 21º, 65% , 21% 
Barbacena, MG, 30º, 14º, 88% , 24% 
Douradina, MS, 33º, 17º, 61% , 31% 
Douradina, PR, 29º, 17º, 96% , 42% 
Doresópolis, MG, 28º, 13º, 76% , 30% 
Dores de Guanhães, MG, 33º, 12º, 86% , 26% 
Dores do Turvo, MG, 32º, 16º, 66% , 23% 
Dona Inês, PB, 30º, 21º, 89% , 45% 
Dona Euzébia, MG, 33º, 19º, 67% , 29% 
Dores de Campos, MG, 30º, 13º, 57% , 25% 
Domingos Mourão, PI, 36º, 22º, 62% , 28% 
Dom Inocêncio, PI, 33º, 20º, 77% , 23% 
Dom Silvério, MG, 33º, 14º, 77% , 27% 
Dom Pedro, MA, 37º, 22º, 84% , 31% 
Dom Pedro de Alcântara, RS, 20º, 12º, 93% , 80% 
Dom Pedrito, RS, 17º, 10º, 96% , 70% 
Dom Joaquim, MG, 29º, 9º, 96% , 36% 
Dom Viçoso, MG, 27º, 12º, 59% , 30% 
Geminiano, PI, 35º, 22º, 66% , 27% 
Itanhaém, SP, 21º, 19º, 97% , 84% 
Itanhangá, MT, 38º, 21º, 47% , 21% 
