Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 36º, 20º, 36% , 9% 
Agudos, SP, 33º, 17º, 67% , 25% 
Águas de São Pedro, SP, 34º, 17º, 50% , 24% 
Águas Mornas, SC, 20º, 12º, 100% , 65% 
Águas Formosas, MG, 33º, 16º, 90% , 26% 
Águas de Chapecó, SC, 21º, 8º, 100% , 59% 
Águas Frias, SC, 22º, 8º, 100% , 55% 
Águas Vermelhas, MG, 29º, 13º, 100% , 27% 
Águas Belas, PE, 28º, 17º, 96% , 44% 
Águas da Prata, SP, 29º, 16º, 40% , 23% 
Água Nova, RN, 34º, 21º, 67% , 24% 
Aguanil, MG, 32º, 16º, 44% , 20% 
Água Fria de Goiás, GO, 33º, 19º, 42% , 15% 
Aguaí, SP, 31º, 15º, 55% , 24% 
Água Santa, RS, 17º, 5º, 100% , 68% 
Água Preta, PE, 28º, 19º, 98% , 54% 
Caaporã, PB, 27º, 21º, 93% , 67% 
Cacimba de Dentro, PB, 27º, 18º, 97% , 57% 
Cacimba de Areia, PB, 33º, 20º, 81% , 31% 
Cacimbas, PB, 30º, 17º, 91% , 35% 
Cesário Lange, SP, 34º, 17º, 57% , 25% 
Cerro Grande do Sul, RS, 18º, 11º, 95% , 69% 
Céu Azul, PR, 27º, 11º, 92% , 31% 
Cezarina, GO, 37º, 19º, 39% , 10% 
Cerro Negro, SC, 19º, 6º, 100% , 57% 
Chã de Alegria, PE, 28º, 20º, 94% , 55% 
Cerro Largo, RS, 21º, 7º, 97% , 63% 
Cerro Grande, RS, 20º, 6º, 99% , 66% 
Cerro Azul, PR, 27º, 13º, 97% , 52% 
Ceres, GO, 36º, 19º, 38% , 12% 
Cerro Corá, RN, 30º, 18º, 90% , 41% 
Cerqueira César, SP, 32º, 18º, 62% , 28% 
Cerrito, RS, 18º, 13º, 89% , 72% 
Cerquilho, SP, 35º, 17º, 56% , 23% 
Cerro Branco, RS, 19º, 12º, 92% , 65% 
Colinas, RS, 20º, 13º, 90% , 66% 
Cidreira, RS, 16º, 15º, 92% , 75% 
Colinas, MA, 35º, 22º, 54% , 31% 
Colina, SP, 35º, 16º, 51% , 19% 
Fátima do Sul, MS, 33º, 15º, 77% , 31% 
Fátima, BA, 30º, 16º, 98% , 40% 
Fátima, TO, 37º, 24º, 45% , 21% 
Fartura do Piauí, PI, 34º, 21º, 74% , 22% 
Fartura, SP, 30º, 20º, 68% , 42% 
Faxinal, PR, 29º, 16º, 79% , 32% 
Faro, PA, 35º, 26º, 75% , 41% 
Farol, PR, 31º, 15º, 73% , 24% 
Faria Lemos, MG, 32º, 18º, 69% , 31% 
Farias Brito, CE, 33º, 20º, 74% , 26% 
Faina, GO, 38º, 21º, 33% , 13% 
Fama, MG, 31º, 15º, 76% , 27% 
Francisco Badaró, MG, 33º, 16º, 76% , 18% 
Glória de Dourados, MS, 32º, 15º, 78% , 39% 
Governador Newton Bello, MA, 36º, 22º, 99% , 34% 
Governador Nunes Freire, MA, 35º, 23º, 97% , 41% 
Guairaçá, PR, 32º, 16º, 66% , 29% 
Guaíra, SP, 35º, 17º, 55% , 16% 
Jacobina, BA, 26º, 18º, 96% , 55% 
Jaguapitã, PR, 33º, 18º, 68% , 25% 
Jaguarão, RS, 18º, 12º, 90% , 72% 
Jacuípe, AL, 28º, 19º, 95% , 53% 
Jacutinga, MG, 30º, 13º, 65% , 27% 
Jaguaquara, BA, 24º, 15º, 100% , 65% 
Jacareí, SP, 28º, 13º, 90% , 47% 
Jaguarari, BA, 26º, 16º, 99% , 49% 
Jacinto, MG, 31º, 16º, 98% , 36% 
Jacaraci, BA, 20º, 10º, 100% , 48% 
Jaboticaba, RS, 19º, 6º, 98% , 66% 
Joca Marques, PI, 36º, 23º, 87% , 31% 
Laje, BA, 25º, 19º, 99% , 71% 
Jacareacanga, PA, 37º, 25º, 75% , 30% 
Jaborandi, BA, 34º, 18º, 60% , 17% 
Jaboatão dos Guararapes, PE, 27º, 21º, 91% , 60% 
Nova Friburgo, RJ, 25º, 15º, 96% , 47% 
Nova Europa, SP, 35º, 18º, 53% , 22% 
Nova Fátima, PR, 33º, 18º, 72% , 26% 
Nova Glória, GO, 36º, 19º, 39% , 12% 
Nova Esperança do Sul, RS, 20º, 8º, 100% , 67% 
Nova Fátima, BA, 28º, 18º, 98% , 55% 
Nova Esperança, PR, 31º, 16º, 67% , 31% 
Nova Cruz, RN, 29º, 20º, 91% , 53% 
Nova Crixás, GO, 37º, 22º, 38% , 17% 
Nova Cantu, PR, 28º, 13º, 86% , 30% 
Nova Candelária, RS, 21º, 6º, 99% , 62% 
Nova Colinas, MA, 35º, 23º, 43% , 19% 
Paço do Lumiar, MA, 30º, 26º, 86% , 63% 
Paranapoema, PR, 33º, 17º, 68% , 28% 
Paranaiguara, GO, 35º, 19º, 31% , 16% 
Quixeramobim, CE, 33º, 22º, 89% , 33% 
Rancho Alegre, PR, 35º, 18º, 76% , 23% 
Rancharia, SP, 36º, 19º, 68% , 18% 
Quixeré, CE, 35º, 23º, 74% , 31% 
Quixelô, CE, 34º, 23º, 64% , 28% 
Raposos, MG, 32º, 11º, 72% , 19% 
Quinze de Novembro, RS, 19º, 8º, 100% , 69% 
Quijingue, BA, 30º, 18º, 98% , 38% 
Quiterianópolis, CE, 33º, 22º, 66% , 30% 
Querência do Norte, PR, 31º, 16º, 81% , 36% 
Sabará, MG, 32º, 12º, 72% , 20% 
Quevedos, RS, 19º, 10º, 95% , 67% 
Rubinéia, SP, 33º, 22º, 69% , 25% 
Quinta do Sol, PR, 32º, 15º, 78% , 29% 
Santa Brígida, BA, 30º, 18º, 88% , 37% 
Quilombo, SC, 22º, 8º, 99% , 57% 
Santa Isabel do Ivaí, PR, 31º, 16º, 78% , 37% 
Santa Isabel do Rio Negro, AM, 34º, 24º, 99% , 55% 
Santa Izabel do Oeste, PR, 24º, 8º, 100% , 41% 
São João do Triunfo, PR, 25º, 9º, 100% , 44% 
São João do Rio do Peixe, PB, 34º, 20º, 64% , 27% 
São João do Sóter, MA, 36º, 21º, 44% , 22% 
São João do Sabugi, RN, 34º, 21º, 74% , 30% 
São João do Piauí, PI, 34º, 23º, 62% , 26% 
São João do Tigre, PB, 27º, 16º, 88% , 46% 
