Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Água Azul do Norte, PA, 38º, 25º, 69% , 32% 
Abadia de Goiás, GO, 37º, 24º, 37% , 16% 
Água Clara, MS, 40º, 24º, 56% , 22% 
Afrânio, PE, 34º, 21º, 72% , 28% 
Água Doce, SC, 32º, 17º, 94% , 35% 
Afuá, PA, 35º, 25º, 86% , 48% 
Água Branca, AL, 31º, 19º, 94% , 44% 
Agrolândia, SC, 29º, 18º, 100% , 68% 
Adustina, BA, 31º, 18º, 98% , 46% 
Afonso Cunha, MA, 38º, 24º, 81% , 26% 
Adamantina, SP, 38º, 24º, 62% , 23% 
Adolfo, SP, 38º, 22º, 75% , 25% 
Acrelândia, AC, 37º, 25º, 76% , 41% 
Adelândia, GO, 38º, 26º, 30% , 15% 
Acarape, CE, 34º, 23º, 88% , 40% 
Balneário Pinhal, RS, 21º, 18º, 95% , 85% 
Balsa Nova, PR, 29º, 17º, 100% , 56% 
Caldas, MG, 31º, 16º, 86% , 28% 
Califórnia, PR, 30º, 18º, 96% , 53% 
Caldazinha, GO, 37º, 23º, 38% , 17% 
Caldeirão Grande, BA, 31º, 18º, 90% , 39% 
Caldas Novas, GO, 38º, 22º, 45% , 17% 
Calçoene, AP, 32º, 26º, 88% , 58% 
Cajuri, MG, 30º, 18º, 79% , 41% 
Cajuru, SP, 34º, 21º, 65% , 29% 
Calçado, PE, 26º, 17º, 100% , 65% 
Cajazeiras do Piauí, PI, 38º, 27º, 44% , 24% 
Candeias, BA, 29º, 21º, 93% , 60% 
Campinaçu, GO, 38º, 24º, 41% , 16% 
Canindé de São Francisco, SE, 34º, 20º, 97% , 34% 
Cajueiro, AL, 26º, 19º, 96% , 71% 
Candeias do Jamari, RO, 38º, 26º, 86% , 40% 
Carmo, RJ, 31º, 19º, 94% , 47% 
Carmésia, MG, 31º, 17º, 78% , 34% 
Carlos Chagas, MG, 33º, 19º, 96% , 29% 
Carlópolis, PR, 30º, 19º, 96% , 54% 
Divinésia, MG, 30º, 19º, 95% , 44% 
Dionísio Cerqueira, SC, 31º, 21º, 80% , 55% 
Dirce Reis, SP, 41º, 25º, 54% , 16% 
Dirceu Arcoverde, PI, 36º, 23º, 61% , 22% 
Diorama, GO, 39º, 22º, 35% , 14% 
Diogo de Vasconcelos, MG, 31º, 18º, 85% , 39% 
Divina Pastora, SE, 29º, 20º, 95% , 57% 
Dionísio, MG, 30º, 18º, 88% , 40% 
Diamante do Norte, PR, 34º, 21º, 85% , 44% 
Dias D'Ávila, BA, 29º, 21º, 96% , 58% 
Dilermando de Aguiar, RS, 32º, 17º, 97% , 65% 
Diadema, SP, 30º, 17º, 94% , 48% 
Diamante do Sul, PR, 31º, 17º, 99% , 58% 
Diamantina, MG, 29º, 15º, 75% , 34% 
Diamantino, MT, 41º, 24º, 45% , 18% 
Dezesseis de Novembro, RS, 32º, 20º, 89% , 67% 
Floreal, SP, 40º, 25º, 55% , 17% 
Florânia, RN, 33º, 20º, 85% , 36% 
Ferros, MG, 30º, 18º, 94% , 41% 
Floraí, PR, 36º, 24º, 67% , 35% 
Lagoa da Prata, MG, 35º, 21º, 69% , 25% 
Lagoa da Confusão, TO, 42º, 24º, 42% , 15% 
Lagoa Alegre, PI, 39º, 25º, 82% , 28% 
Lagoa da Canoa, AL, 28º, 18º, 99% , 59% 
Lagoa, PB, 35º, 22º, 76% , 30% 
Lago Verde, MA, 37º, 25º, 86% , 36% 
Lagoa Bonita do Sul, RS, 29º, 16º, 95% , 68% 
Marcelândia, MT, 38º, 21º, 77% , 26% 
Lagoa D'Anta, RN, 32º, 21º, 93% , 47% 
Lago dos Rodrigues, MA, 38º, 25º, 83% , 36% 
Lago da Pedra, MA, 37º, 24º, 85% , 35% 
Lages, SC, 30º, 17º, 100% , 51% 
Lago do Junco, MA, 37º, 25º, 85% , 38% 
