Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Abadia de Goiás, GO, 28º, 19º, 100% , 70% 
Acorizal, MT, 31º, 24º, 92% , 68% 
Acauã, PI, 36º, 24º, 76% , 32% 
Acaraú, CE, 34º, 25º, 87% , 54% 
Acari, RN, 35º, 23º, 82% , 32% 
Acopiara, CE, 35º, 23º, 80% , 31% 
Abreulândia, TO, 31º, 23º, 99% , 70% 
Abre Campo, MG, 24º, 19º, 96% , 65% 
Acajutiba, BA, 32º, 22º, 92% , 44% 
Abreu e Lima, PE, 31º, 25º, 88% , 58% 
Abel Figueiredo, PA, 33º, 24º, 87% , 57% 
Abaiara, CE, 35º, 23º, 75% , 30% 
Abdon Batista, SC, 29º, 17º, 93% , 44% 
Abaré, BA, 35º, 23º, 83% , 32% 
Abelardo Luz, SC, 30º, 20º, 86% , 50% 
Balneário Pinhal, RS, 25º, 21º, 87% , 66% 
Barbacena, MG, 26º, 17º, 100% , 56% 
Cantá, RR, 34º, 23º, 96% , 52% 
Cansanção, BA, 33º, 21º, 91% , 36% 
Capão Alto, SC, 28º, 17º, 94% , 47% 
Capanema, PA, 33º, 24º, 95% , 50% 
Canto do Buriti, PI, 37º, 25º, 63% , 28% 
Canudos, BA, 27º, 18º, 89% , 50% 
Cantagalo, PR, 30º, 20º, 90% , 54% 
Capão Bonito do Sul, RS, 29º, 19º, 94% , 54% 
Canoinhas, SC, 28º, 19º, 98% , 66% 
Canoas, RS, 24º, 19º, 92% , 76% 
Canguçu, RS, 19º, 15º, 96% , 70% 
Cândido Rodrigues, SP, 29º, 19º, 100% , 54% 
Canindé de São Francisco, SE, 35º, 22º, 87% , 37% 
Canela, RS, 19º, 17º, 98% , 88% 
Canelinha, SC, 26º, 21º, 100% , 75% 
Canindé, CE, 35º, 24º, 86% , 37% 
Cidade Ocidental, GO, 26º, 18º, 100% , 72% 
Coaraci, BA, 29º, 20º, 100% , 61% 
Coari, AM, 34º, 25º, 93% , 50% 
Dom Eliseu, PA, 34º, 23º, 93% , 47% 
Dom Expedito Lopes, PI, 36º, 26º, 61% , 33% 
Dom Basílio, BA, 29º, 20º, 99% , 54% 
Dom Bosco, MG, 27º, 20º, 99% , 68% 
Dom Joaquim, MG, 28º, 17º, 100% , 57% 
Dom Pedro de Alcântara, RS, 23º, 20º, 96% , 74% 
Dom Feliciano, RS, 34º, 20º, 90% , 48% 
Dom Macedo Costa, BA, 29º, 21º, 98% , 61% 
Dois Irmãos do Tocantins, TO, 30º, 23º, 100% , 71% 
Dois Irmãos do Buriti, MS, 34º, 24º, 93% , 55% 
Dois Riachos, AL, 34º, 21º, 89% , 38% 
Dois Córregos, SP, 30º, 19º, 99% , 51% 
Dom Aquino, MT, 31º, 22º, 100% , 67% 
Dois Vizinhos, PR, 32º, 22º, 87% , 47% 
Ibiaçá, RS, 30º, 19º, 94% , 52% 
Dois Irmãos, RS, 31º, 21º, 100% , 61% 
Ibiá, MG, 27º, 17º, 100% , 68% 
Ibirapitanga, BA, 28º, 20º, 100% , 61% 
Mãe do Rio, PA, 36º, 24º, 93% , 41% 
Macuco, RJ, 22º, 19º, 100% , 83% 
Mãe D'Água, PB, 34º, 20º, 83% , 25% 
Macururé, BA, 35º, 21º, 87% , 30% 
Maetinga, BA, 27º, 19º, 94% , 66% 
Machado, MG, 28º, 16º, 100% , 56% 
Machadinho D'Oeste, RO, 34º, 24º, 99% , 55% 
Machacalis, MG, 29º, 19º, 100% , 58% 
Machadinho, RS, 31º, 19º, 91% , 43% 
Macaubal, SP, 30º, 21º, 100% , 68% 
Macau, RN, 36º, 24º, 87% , 52% 
Mafra, SC, 27º, 18º, 99% , 68% 
Monte Negro, RO, 31º, 22º, 100% , 73% 
Machados, PE, 30º, 21º, 98% , 52% 
Maceió, AL, 31º, 22º, 96% , 57% 
Nova Bréscia, RS, 22º, 18º, 99% , 83% 
Novo Tiradentes, RS, 32º, 21º, 86% , 46% 
Ouro Verde, SC, 29º, 18º, 90% , 46% 
Pirapora, MG, 29º, 21º, 98% , 60% 
Piraquê, TO, 33º, 23º, 96% , 47% 
Pirapozinho, SP, 34º, 22º, 89% , 41% 
Piranhas, AL, 33º, 22º, 89% , 45% 
Pirapetinga, MG, 29º, 20º, 100% , 66% 
Pirapemas, MA, 35º, 25º, 86% , 41% 
Piranhas, GO, 30º, 21º, 100% , 66% 
Piranga, MG, 27º, 19º, 95% , 67% 
Piraí do Sul, PR, 27º, 16º, 100% , 56% 
Piranguinho, MG, 24º, 16º, 100% , 70% 
Piraju, SP, 30º, 19º, 99% , 49% 
Piraí do Norte, BA, 27º, 20º, 100% , 70% 
Piraí, RJ, 29º, 19º, 100% , 63% 
Piracuruca, PI, 36º, 25º, 76% , 35% 
Pirajuí, SP, 31º, 20º, 95% , 49% 
Porto Seguro, BA, 30º, 21º, 99% , 65% 
Presidente Getúlio, SC, 32º, 20º, 94% , 52% 
Presidente Figueiredo, AM, 33º, 22º, 98% , 56% 
Presidente Epitácio, SP, 35º, 25º, 85% , 42% 
Progresso, RS, 30º, 22º, 93% , 58% 
Santa Cruz, PB, 36º, 23º, 73% , 25% 
Santa Cruz da Esperança, SP, 29º, 18º, 100% , 53% 
Santa Cruz Cabrália, BA, 29º, 22º, 98% , 68% 
Santa Cruz, RN, 33º, 22º, 90% , 44% 
Santa Cruz da Baixa Verde, PE, 33º, 20º, 77% , 31% 
Santa Cruz da Conceição, SP, 29º, 18º, 99% , 54% 
Santa Clara do Sul, RS, 22º, 18º, 97% , 87% 
Santa Cruz, PE, 35º, 21º, 84% , 29% 
Santa Clara D'Oeste, SP, 32º, 23º, 95% , 52% 
Santa Cecília do Sul, RS, 29º, 19º, 95% , 62% 
Santana do Araguaia, PA, 31º, 24º, 97% , 69% 
Santa Cecília, SC, 25º, 18º, 100% , 69% 
Santa Cecília do Pavão, PR, 32º, 20º, 84% , 39% 
São João Del Rei, MG, 27º, 18º, 98% , 58% 
São Bento de Pombal, PB, 37º, 24º, 73% , 22% 
Santa Carmem, MT, 30º, 22º, 100% , 68% 
São Vicente de Minas, MG, 27º, 17º, 100% , 55% 
São Vicente, RN, 35º, 22º, 85% , 33% 
Terra Nova do Norte, MT, 32º, 23º, 100% , 64% 
Terezópolis de Goiás, GO, 27º, 18º, 100% , 70% 
Terra Alta, PA, 32º, 25º, 92% , 56% 
Terra Boa, PR, 34º, 22º, 83% , 42% 
Terra Nova, BA, 33º, 23º, 82% , 42% 
Terra de Areia, RS, 30º, 21º, 93% , 66% 
Terra Nova, PE, 36º, 23º, 77% , 29% 
Terezinha, PE, 28º, 19º, 96% , 51% 
Teresina, PI, 37º, 26º, 82% , 38% 
