Cidade,Estado,Temp Max,Temp Min,Umidade,Umidade Min
Afonso Cunha, MA, 38º, 24º, 78% , 29% 
Acrelândia, AC, 37º, 24º, 88% , 41% 
Adolfo, SP, 33º, 21º, 78% , 36% 
Adelândia, GO, 38º, 24º, 37% , 13% 
Acarape, CE, 36º, 22º, 88% , 28% 
Adustina, BA, 32º, 18º, 97% , 35% 
Acaiaca, MG, 31º, 18º, 99% , 42% 
Acará, PA, 35º, 23º, 92% , 47% 
Adamantina, SP, 34º, 22º, 81% , 35% 
Abaíra, BA, 27º, 14º, 98% , 37% 
Abadia de Goiás, GO, 37º, 22º, 41% , 13% 
Abre Campo, MG, 31º, 17º, 91% , 41% 
Abaetetuba, PA, 32º, 24º, 90% , 59% 
Araponga, MG, 27º, 17º, 91% , 51% 
Arenópolis, GO, 38º, 23º, 42% , 19% 
Águas de São Pedro, SP, 34º, 19º, 89% , 35% 
Arneiroz, CE, 36º, 22º, 83% , 21% 
Brejolândia, BA, 33º, 19º, 63% , 23% 
Brejão, PE, 24º, 14º, 100% , 60% 
Brejo Grande do Araguaia, PA, 38º, 26º, 69% , 28% 
Brejo da Madre de Deus, PE, 29º, 16º, 95% , 43% 
Brejo Alegre, SP, 33º, 22º, 73% , 38% 
Brasília, DF, 33º, 18º, 49% , 20% 
Braúnas, MG, 32º, 18º, 94% , 39% 
Brejões, BA, 25º, 17º, 100% , 61% 
Brasnorte, MT, 38º, 23º, 73% , 36% 
Brasileira, PI, 39º, 25º, 65% , 24% 
Brasilândia do Tocantins, TO, 40º, 23º, 48% , 20% 
Brasiléia, AC, 37º, 24º, 86% , 43% 
Campinorte, GO, 39º, 24º, 40% , 16% 
Brasil Novo, PA, 36º, 24º, 91% , 42% 
Cachoeira dos Índios, PB, 36º, 22º, 68% , 19% 
Camaquã, RS, 28º, 16º, 100% , 71% 
Branquinha, AL, 29º, 17º, 97% , 51% 
Campo do Brito, SE, 29º, 19º, 98% , 53% 
Campo de Santana, PB, 32º, 21º, 91% , 42% 
Campinas do Sul, RS, 25º, 14º, 95% , 60% 
Correia Pinto, SC, 24º, 11º, 100% , 57% 
Córrego Danta, MG, 34º, 21º, 70% , 28% 
Corumbá, MS, 39º, 27º, 66% , 31% 
Corrente, PI, 36º, 21º, 44% , 21% 
Corumbá de Goiás, GO, 34º, 20º, 46% , 18% 
Corumbaíba, GO, 37º, 23º, 46% , 19% 
Correntina, BA, 35º, 20º, 55% , 19% 
Córrego Novo, MG, 33º, 18º, 95% , 37% 
Coronel Murta, MG, 32º, 18º, 84% , 30% 
Coronel Fabriciano, MG, 32º, 20º, 87% , 39% 
Coronel Martins, SC, 26º, 14º, 98% , 62% 
Coronel Domingos Soares, PR, 27º, 14º, 100% , 60% 
Coronel João Pessoa, RN, 34º, 21º, 72% , 21% 
Coronel João Sá, BA, 32º, 17º, 100% , 36% 
Coroatá, MA, 38º, 24º, 82% , 28% 
Coronel Barros, RS, 27º, 14º, 96% , 62% 
Divino, MG, 28º, 16º, 96% , 50% 
Divinésia, MG, 31º, 18º, 84% , 43% 
Divino de São Lourenço, ES, 27º, 18º, 92% , 52% 
Divina Pastora, SE, 28º, 20º, 96% , 60% 
Governador Luiz Rocha, MA, 38º, 22º, 78% , 27% 
Governador Valadares, MG, 34º, 21º, 85% , 32% 
Governador Nunes Freire, MA, 35º, 24º, 91% , 45% 
Governador Jorge Teixeira, RO, 35º, 26º, 77% , 49% 
Governador Lindenberg, ES, 31º, 20º, 98% , 42% 
Governador Newton Bello, MA, 37º, 24º, 88% , 39% 
Governador Mangabeira, BA, 28º, 18º, 100% , 57% 
Governador Eugênio Barros, MA, 37º, 23º, 79% , 27% 
Governador Celso Ramos, SC, 23º, 17º, 98% , 73% 
Gouvelândia, GO, 38º, 24º, 61% , 19% 
Itacurubi, RS, 26º, 15º, 94% , 67% 
Governador Archer, MA, 37º, 23º, 85% , 28% 
Governador Edison Lobão, MA, 39º, 25º, 72% , 25% 
Lagoa Santa, MG, 33º, 20º, 76% , 30% 
Graça, CE, 34º, 21º, 89% , 30% 
Lagoa Santa, GO, 37º, 22º, 70% , 22% 
Lajes Pintadas, RN, 33º, 19º, 88% , 38% 
Leandro Ferreira, MG, 34º, 21º, 70% , 27% 
Nova Venécia, ES, 33º, 20º, 96% , 39% 
Nova Viçosa, BA, 28º, 22º, 91% , 63% 
Novo Alegre, TO, 38º, 24º, 39% , 17% 
Novais, SP, 34º, 22º, 72% , 29% 
Nova Timboteua, PA, 35º, 24º, 94% , 47% 
Nova Trento, SC, 25º, 15º, 99% , 66% 
Nova Xavantina, MT, 38º, 22º, 50% , 24% 
Nova Serrana, MG, 34º, 21º, 72% , 28% 
Nova Tebas, PR, 27º, 18º, 98% , 64% 
Nova Resende, MG, 30º, 17º, 91% , 37% 
Nova Roma do Sul, RS, 25º, 12º, 100% , 64% 
Nova Russas, CE, 36º, 23º, 83% , 27% 
Nova Santa Helena, MT, 38º, 23º, 53% , 24% 
Nova Santa Rita, PI, 38º, 24º, 57% , 21% 
Passo de Torres, SC, 19º, 17º, 97% , 90% 
Ramilândia, PR, 31º, 21º, 85% , 57% 
Quixabeira, BA, 30º, 19º, 96% , 39% 
Rafard, SP, 29º, 19º, 84% , 50% 
Rafael Jambeiro, BA, 31º, 19º, 100% , 45% 
Rancho Alegre d'Oeste, PR, 29º, 18º, 100% , 60% 
Quixadá, CE, 35º, 23º, 84% , 31% 
Rafael Godeiro, RN, 37º, 22º, 73% , 21% 
Rafael Fernandes, RN, 37º, 23º, 68% , 19% 
Quixabá, PB, 36º, 20º, 77% , 25% 
Santo Estevão, BA, 31º, 19º, 100% , 45% 
Quintana, SP, 32º, 21º, 82% , 39% 
Quitandinha, PR, 24º, 15º, 96% , 65% 
Quixaba, PE, 33º, 17º, 83% , 24% 
Quilombo, SC, 27º, 14º, 100% , 61% 
Querência, MT, 39º, 24º, 40% , 16% 
Queluzita, MG, 31º, 17º, 82% , 36% 
São Gonçalo dos Campos, BA, 29º, 18º, 99% , 52% 
São Jerônimo da Serra, PR, 25º, 17º, 94% , 65% 
Tufilândia, MA, 35º, 24º, 92% , 42% 
Tuntum, MA, 38º, 25º, 82% , 31% 
Tuiuti, SP, 28º, 18º, 86% , 46% 
Tunápolis, SC, 27º, 14º, 100% , 66% 
Tupã, SP, 36º, 21º, 78% , 31% 
Tucuruí, PA, 34º, 25º, 88% , 47% 
Tuneiras do Oeste, PR, 29º, 19º, 99% , 58% 
Trombudo Central, SC, 25º, 13º, 100% , 63% 
Tucunduva, RS, 26º, 14º, 98% , 65% 
Trombas, GO, 39º, 25º, 33% , 15% 
Trizidela do Vale, MA, 38º, 25º, 82% , 32% 
Tubarão, SC, 27º, 16º, 100% , 69% 
Valença, RJ, 31º, 18º, 97% , 47% 
Triunfo Potiguar, RN, 37º, 22º, 73% , 26% 
Várzea, RN, 32º, 21º, 87% , 43% 
Triunfo, PB, 36º, 23º, 64% , 18% 
Vitorino, PR, 25º, 14º, 99% , 66% 
Vitorino Freire, MA, 37º, 24º, 84% , 34% 
Zortéa, SC, 25º, 14º, 97% , 57% 
Tucumã, PA, 37º, 25º, 68% , 29% 
Zacarias, SP, 32º, 22º, 77% , 47% 
Zé Doca, MA, 37º, 24º, 91% , 38% 
Zabelê, PB, 32º, 17º, 88% , 33% 
Xique-Xique, BA, 36º, 21º, 73% , 23% 
Xaxim, SC, 26º, 14º, 100% , 61% 
Xinguara, PA, 36º, 25º, 66% , 36% 
Xexéu, PE, 28º, 18º, 95% , 55% 
Xangri-Lá, RS, 23º, 17º, 99% , 74% 
Xambioá, TO, 38º, 26º, 61% , 29% 
Witmarsum, SC, 25º, 14º, 100% , 65% 
Westfália, RS, 25º, 14º, 98% , 66% 
Xavantina, SC, 26º, 13º, 100% , 66% 
Xapuri, AC, 36º, 23º, 97% , 48% 
Xanxerê, SC, 25º, 13º, 98% , 61% 
Votuporanga, SP, 40º, 23º, 63% , 17% 
Votorantim, SP, 32º, 18º, 91% , 40% 
Wanderley, BA, 35º, 20º, 62% , 21% 
Wagner, BA, 29º, 18º, 93% , 42% 
Volta Redonda, RJ, 32º, 18º, 99% , 48% 
Wall Ferraz, PI, 38º, 25º, 57% , 23% 
Wanderlândia, TO, 37º, 24º, 73% , 29% 
Vitória da Conquista, BA, 25º, 14º, 98% , 49% 
Vista Serrana, PB, 37º, 22º, 69% , 20% 
Vista Alegre do Prata, RS, 25º, 13º, 100% , 65% 
Vitória do Xingu, PA, 34º, 25º, 91% , 51% 
Vitória, ES, 29º, 22º, 90% , 57% 
Vítor Meireles, SC, 21º, 16º, 100% , 82% 
Vitória das Missões, RS, 32º, 18º, 90% , 65% 
Vitória de Santo Antão, PE, 29º, 20º, 86% , 52% 
Virgínia, MG, 28º, 16º, 94% , 44% 
Virginópolis, MG, 29º, 17º, 96% , 43% 
Viradouro, SP, 34º, 22º, 73% , 29% 
Viseu, PA, 31º, 25º, 88% , 60% 
Visconde do Rio Branco, MG, 33º, 20º, 94% , 40% 
Vista Alegre, RS, 26º, 14º, 100% , 60% 
Virgolândia, MG, 31º, 18º, 93% , 37% 
Visconde De Mauá, RJ, 25º, 15º, 97% , 64% 
Vinhedo, SP, 34º, 18º, 94% , 28% 
Vila Nova do Piauí, PI, 36º, 23º, 62% , 23% 
Vila Nova dos Martírios, MA, 37º, 24º, 77% , 30% 
Vila Velha, ES, 29º, 22º, 90% , 57% 
Vilhena, RO, 36º, 24º, 74% , 33% 
Vila Rica, MT, 40º, 23º, 54% , 21% 
Vila Propício, GO, 36º, 24º, 36% , 18% 
Vila Flor, RN, 30º, 22º, 84% , 56% 
Vila Langaro, RS, 25º, 13º, 96% , 64% 
Vila Maria, RS, 29º, 14º, 97% , 66% 
Vieiras, MG, 29º, 16º, 97% , 49% 
Vicente Dutra, RS, 26º, 15º, 99% , 66% 
Vicência, PE, 30º, 20º, 89% , 48% 
Viçosa do Ceará, CE, 33º, 19º, 92% , 33% 
Viçosa, MG, 29º, 18º, 94% , 46% 
Viçosa, RN, 36º, 22º, 74% , 20% 
Victor Graeff, RS, 26º, 14º, 97% , 61% 
Vianópolis, GO, 35º, 20º, 47% , 19% 
