,Cidade,Estado,AreaUrbana
820,Laranjeiras do Sul,PR,11.6866
821,Guaraciaba do Norte,CE,11.6804
822,Agudos,SP,11.6345
823,Aparecida do Taboado,MS,11.6338
824,Icó,CE,11.6081
825,Campos Novos,SC,11.5887
826,Igarapé-Miri,,11.5681
827,Caçapava do Sul,RS,11.5355
828,Santo Antônio da Platina,PR,11.5258
829,Porto União,SC,11.5228
830,São Francisco de Paula,RS,11.5119
831,Soledade,RS,11.511
832,Nova Mamoré,RO,11.5088
833,Valença,,11.4996
834,Oeiras,PI,11.4993
835,Dois Córregos,SP,11.4736
836,Bayeux,PB,11.4732
837,Morretes,PR,11.4278
838,José de Freitas,PI,11.4023
839,Várzea da Palma,MG,11.3715
840,Barreirinha,AM,11.3448
841,Massaranduba,SC,11.336
842,Itapemirim,ES,11.3257
843,Zé Doca,MA,11.3096
844,Iturama,MG,11.3075
845,Bom Princípio,RS,11.3016
846,Itapetinga,,11.2997
847,Três Passos,RS,11.2946
848,Balneário Arroio do Silva,SC,11.2847
849,Ponte Nova,MG,11.2729
850,Itaitinga,CE,11.2691
851,Quixadá,CE,11.2674
852,Encantado,RS,11.2646
853,Anchieta,ES,11.261
854,Colinas do Tocantins,TO,11.232
855,Porangaba,SP,11.2142
856,Canarana,MT,11.2121
857,Brotas,SP,11.21
858,Serra do Mel,RN,11.1819
859,Nova Prata,RS,11.1747
860,Casimiro de Abreu,RJ,11.1319
861,Restinga Sêca,RS,11.1172
862,Ituporanga,SC,11.085
863,Ivoti,RS,11.0673
864,São Lourenço do Sul,RS,11.0606
865,Colinas,MA,11.0599
866,Presidente Venceslau,SP,11.0554
867,Imbituva,PR,11.0506
868,Igrejinha,RS,11.0458
869,Ouro Branco,MG,11.0423
870,Santana do Paraíso,MG,11.0219
871,Mandaguari,PR,10.9846
872,Presidente Figueiredo,AM,10.9785
873,Sidrolândia,MS,10.8802
874,Vargem Grande do Sul,SP,10.8672
875,Tremembé,SP,10.8538
876,Biritiba Mirim,SP,10.8316
877,Poconé,MT,10.8288
878,Maracaju,MS,10.8282
879,Augusto Corrêa,,10.8239
880,Pindoretama,CE,10.8238
881,Iperó,SP,10.8201
882,São Francisco do Conde,,10.8199
883,Porto Real,RJ,10.7995
884,Água Boa,MT,10.7856
885,Pacaraima,RR,10.7802
886,Goioerê,PR,10.7794
887,Nova Venécia,ES,10.7671
888,Caracaraí,RR,10.7505
889,Ourilândia do Norte,,10.7478
890,Tanguá,RJ,10.7171
891,José Bonifácio,SP,10.7124
892,Paraguaçu Paulista,SP,10.6397
893,Bocaiuva,MG,10.6312
894,Uruará,,10.6165
895,Três Pontas,MG,10.6121
896,Santa Cruz Cabrália,,10.5742
897,Rio Brilhante,MS,10.5697
898,Amambai,MS,10.5662
899,São Luís de Montes Belos,GO,10.5614
900,Orlândia,SP,10.5048
901,Guaíra,SP,10.496
902,Presidente Getúlio,SC,10.4911
903,Chapadão do Sul,MS,10.4842
904,Visconde do Rio Branco,MG,10.4707
905,Icapuí,CE,10.4675
906,Araguatins,TO,10.4419
907,Ituverava,SP,10.4274
908,Vassouras,RJ,10.4269
909,Xaxim,SC,10.4238
910,Esplanada,,10.4236
911,Jacarezinho,PR,10.4194
912,Capão Bonito,SP,10.406
913,João Câmara,RN,10.4036
914,Itararé,SP,10.4032
915,Feliz,RS,10.3956
916,Bombinhas,SC,10.3883
917,Marataízes,ES,10.3848
918,Batalha,PI,10.3649
919,São Lourenço,MG,10.3554
920,Aripuanã,MT,10.3503
921,Santo Amaro da Imperatriz,SC,10.3186
922,Ulianópolis,,10.3149
923,Paraíba do Sul,RJ,10.3099
924,Pires do Rio,GO,10.3093
925,Sombrio,SC,10.3072
926,Cantá,RR,10.3047
927,Leopoldina,MG,10.2927
928,Tauá,CE,10.2905
929,Tefé,AM,10.2882
930,Arame,MA,10.2591
931,Colíder,MT,10.2568
932,Descalvado,SP,10.24
933,Jardim,MS,10.2295
934,Bariri,SP,10.2155
935,Piracaia,SP,10.212
936,Canindé,CE,10.1996
937,Maravilha,SC,10.1911
938,Posse,GO,10.18
939,Santa Rita do Sapucaí,MG,10.1748
940,Camocim,CE,10.162
941,Bela Vista,MS,10.1619
942,Peixoto de Azevedo,MT,10.1363
943,Juruti,,10.1268
944,Diamantino,MT,10.1073
945,Casa Branca,SP,10.1031
946,Maués,AM,10.0765
947,Guariba,SP,10.0623
948,Jaguariaíva,PR,10.0602
949,União dos Palmares,AL,10.0426
950,Ubajara,CE,10.0417
951,Palmeira,PR,10.0379
952,Pitanga,PR,10.0211
953,Nova Esperança,PR,10.0148
954,Ouro Fino,MG,10.0131
