,Cidade,Estado,AreaUrbana
188,Santos,SP,39.0549
189,Paranaguá,PR,39.0004
190,Itapetininga,SP,38.9853
191,Itumbiara,GO,38.9345
192,Araras,SP,38.8556
193,Erechim,RS,38.8537
194,Paço do Lumiar,MA,38.7607
195,Tubarão,SC,38.4515
196,Resende,RJ,38.3743
197,Barretos,SP,38.2615
198,Praia Grande,SP,38.1867
199,Altamira,,37.7369
200,Hortolândia,SP,37.5767
201,Trindade,GO,37.5427
202,Guaratinguetá,SP,37.3345
203,Barcarena,,37.25
204,Barra do Corda,MA,37.2177
205,Araranguá,SC,37.2031
206,São Francisco do Sul,SC,37.1409
207,Lagoa Santa,MG,36.9656
208,Tatuí,SP,36.7576
209,Linhares,ES,36.7193
210,Patos de Minas,MG,36.7118
211,Catalão,GO,36.1423
212,Lajeado,RS,36.0654
213,Santana de Parnaíba,SP,35.9344
214,Arapongas,PR,35.8991
215,Bagé,RS,35.7873
216,Luís Eduardo Magalhães,,35.6976
217,Catanduva,SP,35.5679
218,Itaguaí,RJ,35.3579
219,Ilhéus,,35.3282
220,São João de Meriti,RJ,35.2135
221,Gurupi,TO,35.1928
222,Jaú,SP,34.9947
223,Ubatuba,SP,34.9754
224,Varginha,MG,34.9464
225,Salto,SP,34.9335
226,Araguari,MG,34.8176
227,Alagoinhas,,34.6101
228,Peruíbe,SP,34.6079
229,Ourinhos,SP,34.3631
230,São Roque,SP,34.2672
231,Bento Gonçalves,RS,34.1507
232,Jataí,GO,34.1225
233,Rio das Ostras,RJ,34.0953
234,Paranavaí,PR,34.0518
235,São Bento do Sul,SC,33.8677
236,Sorriso,MT,33.6405
237,Itaituba,,33.422
238,Sertãozinho,SP,33.3942
239,Ariquemes,RO,33.2587
240,Cáceres,MT,33.1476
241,Rio do Sul,SC,33.1467
242,Itupeva,SP,33.0567
243,Nossa Senhora do Socorro,SE,32.9232
244,Alvorada,RS,32.8702
245,Macaíba,RN,32.7783
246,Imbituba,SC,32.6586
247,Uruguaiana,RS,32.6457
248,Birigui,SP,32.6374
249,Guarapari,ES,32.6277
250,Carapicuíba,SP,32.5745
251,Vinhedo,SP,32.5579
252,Ponta Porã,MS,32.4672
253,Mogi Mirim,SP,32.402
254,São Mateus,ES,32.2182
255,Crato,CE,32.2083
256,Cambé,PR,32.1643
257,Araxá,MG,32.1064
258,São Pedro da Aldeia,RJ,32.0309
259,Lauro de Freitas,,31.9123
260,Simões Filho,,31.8856
261,Teixeira de Freitas,,31.769
262,Barreiras,,31.717
263,Caxias,MA,31.699
264,São Gonçalo do Amarante,RN,31.692
265,Pato Branco,PR,31.5932
266,Formosa,GO,31.4867
267,Timon,MA,31.4837
268,Avaré,SP,31.4581
269,Sabará,MG,31.3095
270,Jequié,,31.2712
271,Sobral,CE,31.1727
272,Fazenda Rio Grande,PR,31.0703
273,São Sebastião,SP,30.9763
274,Tangará da Serra,MT,30.9722
275,Embu das Artes,SP,30.7732
276,Seropédica,RJ,30.2832
277,Barra do Garças,MT,30.2738
278,Iranduba,AM,30.2537
279,Barra Mansa,RJ,30.2485
280,Francisco Beltrão,PR,30.1467
281,Mairinque,SP,30.0132
282,Bertioga,SP,29.9018
283,Pirassununga,SP,29.8603
284,Valparaíso de Goiás,GO,29.5384
285,São Pedro,SP,29.516
286,Ipojuca,PE,29.3881
287,Concórdia,SC,29.3628
288,Aracruz,ES,29.3568
289,Paragominas,,29.0748
290,Redenção,,29.0742
291,Paulo Afonso,,29.0212
292,Almirante Tamandaré,PR,28.9641
293,Pinhais,PR,28.7961
294,Conselheiro Lafaiete,MG,28.6898
295,Açailândia,MA,28.6321
296,Barbacena,MG,28.6299
297,Itapevi,SP,28.5966
298,Ceará-Mirim,RN,28.5233
299,Grajaú,MA,28.3322
300,Monte Alegre,,28.2257
301,Cacoal,RO,28.0403
302,Boituva,SP,27.9254
303,Gaspar,SC,27.8334
304,Jaguaruna,SC,27.7432
305,Eusébio,CE,27.7183
306,Queimados,RJ,27.6868
307,Itapecerica da Serra,SP,27.6136
308,Vera Cruz,,27.6061
309,Farroupilha,RS,27.5509
310,Diadema,SP,27.5114
311,Piraquara,PR,27.4242
